TRANSACTION_ID,TRANSACTION_GROUP_ID,STORE_ID,PRODUCT_ID,PURCHASE_DATE,QUANTITY,TOTAL_VALUE
1,1,352,119.0,2023-12-10,16,22.56
2,1,352,14.0,2023-12-10,15,16.35
3,1,352,128.0,2023-12-10,2,2.6
4,1,352,108.0,2023-12-10,25,24.5
5,5,352,108.0,2024-01-04,29,28.419999999999998
6,5,352,22.0,2024-01-04,27,57.78
7,7,352,127.0,2024-03-25,22,11.22
8,7,352,2.0,2024-03-25,13,27.169999999999998
9,9,352,6.0,2023-10-06,21,18.69
10,9,352,124.0,2023-10-06,5,11.799999999999999
11,11,352,22.0,2024-02-08,18,38.52
12,11,352,18.0,2024-02-08,14,8.26
13,11,352,113.0,2024-02-08,6,6.12
14,14,352,24.0,2023-09-30,1,1.03
15,14,352,5.0,2023-09-30,17,29.92
16,14,352,6.0,2023-09-30,24,21.36
17,14,352,20.0,2023-09-30,15,28.65
18,18,352,127.0,2024-09-10,8,4.08
19,18,352,13.0,2024-09-10,16,23.84
20,20,352,104.0,2023-10-19,2,2.14
21,20,352,21.0,2023-10-19,4,9.16
22,20,352,115.0,2023-10-19,26,27.3
23,20,352,110.0,2023-10-19,27,34.83
24,24,352,102.0,2024-04-10,22,42.46
25,24,352,18.0,2024-04-10,15,8.85
26,24,352,12.0,2024-04-10,27,45.9
27,24,352,3.0,2024-04-10,22,24.42
28,28,352,4.0,2023-11-13,8,16.4
29,28,352,1.0,2023-11-13,7,13.719999999999999
30,28,352,113.0,2023-11-13,8,8.16
31,31,352,23.0,2024-02-23,1,1.53
32,31,352,104.0,2024-02-23,25,26.75
33,31,352,19.0,2024-02-23,22,12.76
34,31,352,116.0,2024-02-23,8,4.08
35,35,352,123.0,2024-07-28,18,18.900000000000002
36,35,352,4.0,2024-07-28,30,61.49999999999999
37,35,352,126.0,2024-07-28,6,14.100000000000001
38,38,352,6.0,2024-03-09,7,6.23
39,38,352,8.0,2024-03-09,4,7.0
40,38,352,126.0,2024-03-09,30,70.5
41,38,352,115.0,2024-03-09,19,19.95
42,42,352,18.0,2024-06-08,16,9.44
43,42,352,101.0,2024-06-08,14,12.32
44,42,352,125.0,2024-06-08,12,9.600000000000001
